date,tourism_num,temperature_high,temperature_low,weather,wind,air_quality,weather_source
2024-01-01,2932,10°,-1°,多云~晴,东南风1级,89 良,2345
2024-01-02,2186,9°,-1°,晴~阴,东南风1级,69 良,2345
2024-01-03,1768,9°,-2°,阴,东南风1级,76 良,2345
2024-01-04,1633,11°,-1°,阴,东南风1级,83 良,2345
2024-01-05,2958,10°,-1°,阴,东南风1级,76 良,2345
2024-01-06,4469,9°,-5°,阴~多云,东南风1级,82 良,2345
2024-01-07,2121,8°,-7°,晴,东南风1级,85 良,2345
2024-01-08,1877,14°,0°,晴~多云,东南风1级,78 良,2345
2024-01-09,2595,13°,0°,多云,东南风1级,97 良,2345
2024-01-10,2723,13°,0°,多云~晴,东南风1级,95 良,2345
2024-01-11,2604,15°,-1°,晴,东南风1级,83 良,2345
2024-01-12,2762,16°,0°,晴~阴,东南风1级,79 良,2345
2024-01-13,3771,14°,0°,晴~多云,东南风1级,70 良,2345
2024-01-14,3438,13°,1°,晴~阴,东南风1级,80 良,2345
2024-01-15,3296,13°,4°,阴~小雨,东南风1级,63 良,2345
2024-01-16,3798,12°,4°,阴,东南风1级,50 优,2345
2024-01-17,3648,15°,3°,多云~阴,东南风1级,30 优,2345
2024-01-18,3864,12°,1°,多云,东南风1级,47 优,2345
2024-01-19,3996,12°,2°,多云~小雨,东南风1级,43 优,2345
2024-01-20,4827,7°,0°,阴~小雨,东南风2级,55 良,2345
2024-01-21,4824,3°,-3°,小雨~多云,东风2级,50 优,2345
2024-01-22,4821,4°,-3°,多云~阴,东南风2级,49 优,2345
2024-01-23,4515,1°,-3°,阴~多云,东南风2级,39 优,2345
2024-01-24,4581,4°,-3°,阴~多云,东南风2级,42 优,2345
2024-01-25,4594,4°,-4°,阴~多云,东南风2级,53 良,2345
2024-01-26,4417,6°,-2°,多云,东南风1级,61 良,2345
2024-01-27,5491,7°,-1°,阴~多云,东南风1级,64 良,2345
2024-01-28,5140,8°,-2°,阴~多云,东南风1级,58 良,2345
2024-01-29,5412,6°,0°,阴~晴,东南风1级,52 良,2345
2024-01-30,5990,6°,0°,阴,东南风2级,53 良,2345
2024-01-31,5232,4°,0°,阴,东南风2级,52 良,2345
2024-02-01,5169,11°,1°,多云~小雨,东南风2级,49 优,2345
2024-02-02,5551,5°,2°,多云~小雨,东南风2级,32 优,2345
2024-02-03,5897,4°,-1°,阴~小雨,东南风2级,35 优,2345
2024-02-04,6101,6°,0°,阴,东南风1级,49 优,2345
2024-02-05,6773,8°,1°,多云~小雨,东南风2级,49 优,2345
2024-02-06,6075,6°,-2°,阴~小雨,东南风2级,58 良,2345
2024-02-07,4872,5°,0°,阴~多云,东南风2级,58 良,2345
2024-02-08,4263,8°,0°,阴~多云,东南风1级,64 良,2345
2024-02-09,3895,16°,-3°,阴~晴,西北风2级,101 轻度,2345
2024-02-10,5978,18°,-2°,晴,西风1级,163 中度,2345
2024-02-11,17276,16°,0°,晴,东南风1级,66 良,2345
2024-02-12,27806,18°,1°,阴~晴,东南风1级,83 良,2345
2024-02-13,31251,17°,4°,阴,东南风1级,67 良,2345
2024-02-14,30193,10°,1°,阴,东风2级,64 良,2345
2024-02-15,25210,14°,1°,阴~晴,东南风1级,49 优,2345
2024-02-16,20157,17°,1°,晴,东南风1级,44 优,2345
2024-02-17,14656,17°,2°,多云~晴,东南风1级,50 优,2345
2024-02-18,11945,15°,2°,阴,东南风2级,90 良,2345
2024-02-19,10328,14°,4°,阴~多云,东南风2级,200 中度,2345
2024-02-20,9761,15°,5°,多云~小雨,东南风1级,264 重度,2345
2024-02-21,7697,3°,0°,阴~小雨,东南风2级,83 良,2345
2024-02-22,6450,1°,0°,小雪~雨夹雪,东南风2级,81 良,2345
2024-02-23,4505,3°,-1°,阴~中雪,东南风2级,51 良,2345
2024-02-24,3780,6°,0°,阴~雨夹雪,东南风2级,96 良,2345
2024-02-25,2827,5°,0°,阴~小雨,东南风2级,94 良,2345
2024-02-26,2612,7°,1°,阴,东南风2级,62 良,2345
2024-02-27,2885,8°,2°,多云~小雨,东南风2级,55 良,2345
2024-02-28,3056,3°,1°,阴~雨夹雪,东南风2级,46 优,2345
2024-02-29,2907,4°,1°,阴~小雨,东南风2级,53 良,2345
2024-03-01,3441,4°,0°,阴~小雪,东南风2级,49 优,2345
2024-03-02,4136,10°,1°,阴~多云,东南风1级,48 优,2345
2024-03-03,4080,7°,3°,阴~多云,东南风2级,45 优,2345
