date,tourism_num
2024-01-01,2932
2024-01-02,2186
2024-01-03,1768
2024-01-04,1633
2024-01-05,2958
2024-01-06,4469
2024-01-07,2121
2024-01-08,1877
2024-01-09,2595
2024-01-10,2723
2024-01-11,2604
2024-01-12,2762
2024-01-13,3771
2024-01-14,3438
2024-01-15,3296
2024-01-16,3798
2024-01-17,3648
2024-01-18,3864
2024-01-19,3996
2024-01-20,4827
2024-01-21,4824
2024-01-22,4821
2024-01-23,4515
2024-01-24,4581
2024-01-25,4594
2024-01-26,4417
2024-01-27,5491
2024-01-28,5140
2024-01-29,5412
2024-01-30,5990
2024-01-31,5232
2024-02-01,5169
2024-02-02,5551
2024-02-03,5897
2024-02-04,6101
2024-02-05,6773
2024-02-06,6075
2024-02-07,4872
2024-02-08,4263
2024-02-09,3895
2024-02-10,5978
2024-02-11,17276
2024-02-12,27806
2024-02-13,31251
2024-02-14,30193
2024-02-15,25210
2024-02-16,20157
2024-02-17,14656
2024-02-18,11945
2024-02-19,10328
2024-02-20,9761
2024-02-21,7697
2024-02-22,6450
2024-02-23,4505
2024-02-24,3780
2024-02-25,2827
2024-02-26,2612
2024-02-27,2885
2024-02-28,3056
2024-02-29,2907
2024-03-01,3441
2024-03-02,4136
2024-03-03,4080
2024-03-04,3469
2024-03-05,3368
2024-03-06,3502
2024-03-07,4291
2024-03-08,7514
2024-03-09,6886
2024-03-10,4999
2024-03-11,5560
2024-03-12,5124
2024-03-13,5828
2024-03-14,5359
2024-03-15,6252
2024-03-16,6690
2024-03-17,6639
2024-03-18,6773
2024-03-19,7074
2024-03-20,7891
2024-03-21,7174
2024-03-22,9787
2024-03-23,10538
2024-03-24,9343
2024-03-25,9360
2024-03-26,9589
2024-03-27,9885
2024-03-28,9529
2024-03-29,10396
2024-03-30,11602
2024-03-31,9648
2024-04-01,6466
2024-04-02,6483
2024-04-03,6409
2024-04-04,10240
2024-04-05,21204
2024-04-06,6424
2024-04-07,6229
2024-04-08,7205
2024-04-09,9201
2024-04-10,12589
2024-04-11,12812
2024-04-12,16075
2024-04-13,17628
2024-04-14,14661
2024-04-15,13781
2024-04-16,13426
2024-04-17,14938
2024-04-18,14013
2024-04-19,14907
2024-04-20,16852
2024-04-21,14583
2024-04-22,14999
2024-04-23,14799
2024-04-24,15031
2024-04-25,13424
2024-04-26,12223
2024-04-27,9939
