date,y_true,y_pred_mean,lower,upper,std
2025-07-09,26266.4,26080.6,22468.0,28838.3,1815.6
2025-07-10,27555.9,26518.4,23426.2,29045.1,1814.3
2025-07-11,26631.3,26851.4,24025.2,30814.9,1994.1
2025-07-12,26722.2,26756.8,23172.9,29382.9,1925.9
2025-07-13,26409.3,26364.4,22548.6,29169.3,1979.0
2025-07-14,29850.1,25397.7,22497.0,28842.2,2048.8
2025-07-15,31869.3,28929.4,25880.9,32107.3,2055.0
2025-07-16,32620.1,31430.5,26716.1,34721.3,2441.8
2025-07-17,33304.8,31644.6,27855.1,36295.6,2577.6
2025-07-18,30792.7,32547.1,28971.2,35930.2,2392.0
2025-07-19,26731.2,29939.5,26202.3,33474.5,2086.0
2025-07-20,26307.4,26304.0,23776.9,30350.1,2030.3
2025-07-21,32329.2,25150.6,21849.8,27950.6,1820.1
2025-07-22,33490.8,30885.8,27170.0,34633.5,2379.0
2025-07-23,33168.9,32571.6,29052.6,36095.1,2122.4
2025-07-24,33970.6,32391.9,27943.1,36055.6,2412.9
2025-07-25,31793.4,32140.0,28054.4,35307.5,2526.7
2025-07-26,33414.8,30766.9,27133.4,34017.5,2191.5
2025-07-27,36686.6,33126.1,29038.3,37171.0,2928.8
2025-07-28,41000.0,35148.8,31333.7,38692.0,2306.2
2025-07-29,41000.0,38922.5,34082.7,44158.2,3198.7
2025-07-30,41000.0,37951.7,32627.2,42200.4,2819.4
2025-07-31,41000.0,38537.2,33443.8,42152.1,2868.1
2025-08-01,39335.6,38980.9,33847.8,43423.5,2920.8
2025-08-02,41000.0,36363.4,32643.1,39999.6,2620.0
2025-08-03,41000.0,40044.3,36548.7,43869.6,2241.3
2025-08-04,41000.0,38700.4,34016.6,42682.8,2711.6
2025-08-05,41000.0,37272.6,32767.1,42006.0,2878.1
2025-08-06,41000.0,37836.9,33491.3,42299.2,2682.7
2025-08-07,41000.0,38864.6,35038.1,43477.5,2717.9
2025-08-08,41000.0,38934.3,33837.6,44246.9,3101.5
2025-08-09,41000.0,39512.0,35353.8,42662.8,2505.3
2025-08-10,41000.0,39407.8,35293.6,45222.0,2869.4
2025-08-11,41000.0,37541.3,32967.4,42107.8,2934.8
2025-08-12,41000.0,37747.5,33226.5,42663.7,2958.2
2025-08-13,41000.0,38726.5,34250.0,43764.3,2983.5
2025-08-14,41000.0,38975.0,34662.4,42892.9,2850.1
2025-08-15,41000.0,39133.3,33582.3,42674.5,2847.3
2025-08-16,41000.0,39235.8,34484.3,43268.4,2820.5
2025-08-17,41000.0,40721.4,36584.3,45130.3,2597.7
2025-08-18,41000.0,38265.8,33198.7,42586.0,2946.2
2025-08-19,41000.0,37175.1,33148.7,41946.8,2766.6
2025-08-20,41000.0,38088.1,33185.1,41874.9,2629.3
2025-08-21,37444.3,38275.7,32152.1,43265.9,3327.4
2025-08-22,37307.4,35124.5,31341.0,39365.2,2404.8
2025-08-23,36624.6,36163.3,32801.1,40261.0,2529.3
2025-08-24,31824.4,36395.8,32341.0,40610.7,2502.0
2025-08-25,30940.7,29748.0,25737.8,33225.8,2325.0
2025-08-26,28575.5,29407.2,25771.5,32369.6,2130.9
2025-08-27,24918.9,28935.1,26360.1,32162.8,1705.1
2025-08-28,19139.0,25435.4,23109.1,27759.4,1494.3
2025-08-29,16317.0,20699.5,18537.1,23119.1,1578.9
2025-08-30,17494.6,17557.1,14432.2,20086.8,1664.4
2025-08-31,16865.8,20088.9,17545.0,22184.3,1456.3
2025-09-01,16001.2,18811.4,16458.1,21417.9,1494.7
2025-09-02,13717.0,17646.7,15727.2,19597.7,1224.0
2025-09-03,15221.4,16039.2,14287.1,17903.8,1208.4
2025-09-04,15883.2,16591.4,15148.5,18286.9,975.2
2025-09-05,14330.8,16961.0,15350.7,19249.7,1236.3
2025-09-06,19866.7,15986.2,14441.1,17275.6,866.2
2025-09-07,16551.0,20738.6,18327.2,23715.1,1645.3
2025-09-08,20413.5,17191.2,14999.0,18807.1,1304.7
2025-09-09,23051.6,20642.1,18604.1,22641.2,1316.3
2025-09-10,22826.6,23546.0,20024.3,26372.9,2007.5
2025-09-11,20045.7,23061.2,20141.1,26015.3,1756.9
2025-09-12,26357.4,20721.4,17984.7,22962.4,1408.8
2025-09-13,29196.3,25677.9,23155.6,28388.4,1679.2
2025-09-14,25691.6,30530.5,26702.0,34963.3,2464.6
2025-09-15,24969.9,24501.6,22708.1,26723.9,1236.9
2025-09-16,23886.3,24123.1,21774.2,26575.9,1514.7
2025-09-17,23936.2,24071.6,20870.6,26587.2,1780.5
2025-09-18,23174.5,24226.7,21580.7,26576.1,1460.2
2025-09-19,29310.3,23197.8,21234.3,25188.1,1292.0
2025-09-20,27483.9,29309.6,26067.5,32046.2,2099.2
2025-09-21,22333.8,28453.2,25277.8,31832.7,2088.2
2025-09-22,25156.8,20233.7,17837.2,22526.7,1498.9
2025-09-23,24775.9,24513.7,21808.2,27401.6,2009.9
2025-09-24,25658.6,24929.4,22539.1,27077.7,1572.0
2025-09-25,21793.0,26197.5,23022.3,28619.9,1776.6
2025-09-26,17916.4,23116.4,20668.3,25663.1,1564.3
2025-09-27,15405.4,19923.0,17874.0,22438.6,1348.9
2025-09-28,16395.0,17172.6,15223.6,19074.7,1180.3
2025-09-29,21483.1,17070.7,14935.2,18915.0,1298.4
2025-09-30,21698.1,21550.1,19104.5,23864.0,1483.3
2025-10-01,41000.0,22851.9,20533.0,25223.3,1530.2
2025-10-02,41000.0,41654.8,35564.5,48647.7,4208.5
2025-10-03,41000.0,36780.7,31774.4,41493.1,2981.8
2025-10-04,41000.0,35402.2,31256.8,40174.3,2546.4
2025-10-05,41000.0,34189.8,28863.7,39378.7,3239.5
2025-10-06,41000.0,35234.1,30535.4,40533.8,2975.6
2025-10-07,41000.0,34872.8,28506.8,38561.8,3072.9
2025-10-08,21284.2,33212.2,27823.6,37952.7,3031.1
